Description of Emergency,Title of Emergency
ARMAND HAMMER BLVD & RAMP RT422 EB TO INDUSTRIAL HWY;  LOWER POTTSGROVE; Station 329; 2015-12-21 @ 15:30:04;,EMS: SYNCOPAL EPISODE
CHERRYWOOD CT & DEAD END;  UPPER PROVIDENCE; Station 324; 2015-12-21 @ 15:33:20;,EMS: CARDIAC EMERGENCY
CHURCH RD & CHANDLER ST; ROCKLEDGE; 2015-12-21 @ 15:31:45;,Traffic: VEHICLE ACCIDENT -
RIDGE PIKE & WAYNE AVE; LOWER PROVIDENCE; 2015-12-21 @ 15:34:57;,Traffic: VEHICLE ACCIDENT -
ST JAMES PL & COULTER AVE; LOWER MERION; 2015-12-21 @ 15:35:44;,Traffic: VEHICLE ACCIDENT -
WILLOW DR & ROSE DR;  HATFIELD TOWNSHIP; Station 345; 2015-12-21 @ 15:40:33;,EMS: SUBJECT IN PAIN
LAFAYETTE ST & SWEDE ST;  NORRISTOWN; Station 308A; 2015-12-21 @ 15:36:20;,EMS: CARDIAC EMERGENCY
COLWELL LN & OVERHILL RD;  PLYMOUTH; Station 308; 2015-12-21 @ 15:41:03;,EMS: RESPIRATORY EMERGENCY
SPARROW RD & LARK LN; LOWER PROVIDENCE; 2015-12-21 @ 15:44:13-Station:STA53;,Fire: VEHICLE FIRE
CONSHOHOCKEN STATE RD & SPRING MILL RD; LOWER MERION; 2015-12-21 @ 15:41:26;,Traffic: ROAD OBSTRUCTION -
SPARROW RD & LARK LN; LOWER PROVIDENCE; 2015-12-21 @ 15:44:18;,Traffic: VEHICLE FIRE -
GERMANTOWN PIKE & MAYFLOWER RD; WHITEMARSH; 2015-12-21 @ 15:48:09-Station:STA29;,Fire: FIRE ALARM
BUTTONWOOD ST & W MAIN ST; NORRISTOWN; 2015-12-21 @ 15:47:44;,Traffic: VEHICLE ACCIDENT -
LINFIELD TRAPPE RD & ROYERSFORD RD; LIMERICK; 2015-12-21 @ 15:50:00;,Traffic: VEHICLE ACCIDENT -
LINFIELD TRAPPE RD; LIMERICK; 2015-12-21 @ 15:54:48-Station:STA54;,Fire: VEHICLE ACCIDENT
BETHLEHEM PIKE & NORTH WALES RD; MONTGOMERY; 2015-12-21 @ 15:51:55;,Traffic: VEHICLE ACCIDENT -
DAVISVILLE RD & NEW ST; UPPER MORELAND; 2015-12-21 @ 15:51:08;,Traffic: VEHICLE ACCIDENT -
NYLSOR AVE & DEAD END;  ABINGTON; Station 381; 2015-12-21 @ 15:51:57;,EMS: LACERATIONS
MEDICAL DR & ARMAND HAMMER BLVD;  LOWER POTTSGROVE; Station 329; 2015-12-21 @ 15:52:49;,EMS: SYNCOPAL EPISODE
GREENWOOD AVE & WASHINGTON LN; JENKINTOWN; 2015-12-21 @ 15:55:50;,Traffic: DISABLED VEHICLE -
WEST AVE & GREENWOOD AVE;  JENKINTOWN; Station 382; 2015-12-21 @ 15:59:17;,EMS: GENERAL WEAKNESS
WELSH RD & BLAIR MILL RD; HORSHAM; 2015-12-21 @ 15:59:52-Station:STA15;,Fire: FIRE ALARM
GREENWOOD AVE & WASHINGTON LN; JENKINTOWN; 2015-12-21 @ 16:01:46;,Traffic: DISABLED VEHICLE -
PERKIOMEN AVE & 3RD ST;  SCHWENKSVILLE; Station 331; 2015-12-21 @ 16:04:50;,EMS: FALL VICTIM
RT309 EXPY & CHURCH RD UNDERPASS; SPRINGFIELD; 2015-12-21 @ 16:03:23;,Traffic: DISABLED VEHICLE -
GREENWOOD AVE & JENKINTOWN RD; ABINGTON; 2015-12-21 @ 16:01:46;,Traffic: DISABLED VEHICLE -
RT309 EXPY & CHURCH RD UNDERPASS; SPRINGFIELD; 2015-12-21 @ 16:03:07;,Traffic: DISABLED VEHICLE -
WALNUT ST & E FORNANCE ST;  NORRISTOWN; Station 308A; 2015-12-21 @ 16:06:06;,EMS: NAUSEA/VOMITING
HORACE AVE & OLD YORK RD;  ABINGTON; Station 381; 2015-12-21 @ 16:06:35;,EMS: VEHICLE ACCIDENT
HORACE AVE & OLD YORK RD; ABINGTON; 2015-12-21 @ 16:06:23;,Traffic: VEHICLE ACCIDENT -
GERMANTOWN PIKE & BRIDLE PATH RD;  EAST NORRITON; Station 308B; 2015-12-21 @ 16:11:29;,EMS: CARDIAC EMERGENCY
WELSH RD;  MONTGOMERY; Station 345A; 2015-12-21 @ 16:13:03;,EMS: VEHICLE ACCIDENT
WALNUT ST & S 4TH AVE; ROYERSFORD; 2015-12-21 @ 16:13:38-Station:STA98;,Fire: FIRE ALARM
ADRIAN RD & BARBARA LN; PERKIOMEN; 2015-12-21 @ 16:12:07-Station:STA66;,Fire: FIRE INVESTIGATION
EVAN DR & LAFAYETTE DR; LOWER PROVIDENCE; 2015-12-21 @ 16:14:30-Station:STA53;,Fire: FIRE INVESTIGATION
GERMANTOWN PIKE & LAUNFALL RD; PLYMOUTH; 2015-12-21 @ 16:15:15;,Traffic: VEHICLE ACCIDENT -
WELSH RD & STUMP RD; MONTGOMERY; 2015-12-21 @ 16:13:32;,Traffic: VEHICLE ACCIDENT -
WELSH RD & STUMP RD; MONTGOMERY; 2015-12-21 @ 16:14:55;,Traffic: VEHICLE ACCIDENT -
RIDGE PIKE & WAYNE AVE;  LOWER PROVIDENCE; Station 322; 2015-12-21 @ 16:20:57;,EMS: FALL VICTIM
MAIN ST & CHURCH ST;  SCHWENKSVILLE; Station 331; 2015-12-21 @ 16:19:40;,EMS: UNKNOWN MEDICAL EMERGENCY
CATFISH LN & NESTER DR; LOWER PROVIDENCE; 2015-12-21 @ 16:14:30-Station:STA53;,Fire: FIRE INVESTIGATION
SHERWOOD LN & MAPLE AVE;  HORSHAM; Station 352; 2015-12-21 @ 16:23:27;,EMS: GENERAL WEAKNESS
WELSH RD & BLAIR MILL RD; HORSHAM; 2015-12-21 @ 16:29:48-Station:STA15;,Fire: FIRE INVESTIGATION
MANSFIELD RD & LAKEVUE DR;  UPPER MORELAND; Station 381; 2015-12-21 @ 16:27:35;,EMS: HEAD INJURY
JENKINS AVE & S BROAD ST;  LANSDALE; Station 345; 2015-12-21 @ 16:29:25;,EMS: MATERNITY
HUNTINGDON PIKE & MOREDON RD; ABINGTON; 2015-12-21 @ 16:32:35;,Traffic: DISABLED VEHICLE -
SUSQUEHANNA RD & WATER TOWER DR;  UPPER DUBLIN; Station 351; 2015-12-21 @ 16:45:43;,EMS: HEAD INJURY
SPRUCE ST & GRADY ALY;  NORRISTOWN; Station 308A; 2015-12-21 @ 16:45:00;,EMS: SYNCOPAL EPISODE
CHARTER CIR & DEAD END; ABINGTON; 2015-12-21 @ 16:42:35-Station:STA200;,Fire: FIRE INVESTIGATION
MEADOWBROOK RD & MILLER RD;  CHESTER COUNTY; Station 3A84; 2015-12-21 @ 16:46:33;,EMS: RESPIRATORY EMERGENCY
W VALLEY FORGE RD & MOORE RD; UPPER MERION; 2015-12-21 @ 16:51:31;,Traffic: VEHICLE ACCIDENT -
LOCUST ST & W ROBERTS ST;  NORRISTOWN; Station 308A; 2015-12-21 @ 17:00:38;,EMS: GENERAL WEAKNESS
OVERLOOK AVE & NASH AVE;  UPPER MORELAND; Station 381; 2015-12-21 @ 17:04:25;,EMS: ABDOMINAL PAINS
BETHLEHEM PIKE & TAYLOR RD;  MONTGOMERY; Station 345; 2015-12-21 @ 17:03:04;,EMS: CARDIAC EMERGENCY
N 59TH ST & CITY AVE; LOWER MERION; 2015-12-21 @ 17:06:30;,Traffic: VEHICLE ACCIDENT -
N 59TH ST & CITY AVE; LOWER MERION; 2015-12-21 @ 17:06:36;,Traffic: VEHICLE ACCIDENT -
PENNBURN RD & W MARSHALL ST;  WEST NORRITON; Station 308B; 2015-12-21 @ 17:10:12;,EMS: FALL VICTIM
UNION MEETING RD & LAKEVIEW DR; WHITPAIN; 2015-12-21 @ 17:11:51;,Traffic: VEHICLE ACCIDENT -
FOX CHASE RD;  ABINGTON; Station 382; 2015-12-21 @ 17:15:50;,EMS: VEHICLE ACCIDENT
4TH ST; TELFORD; 2015-12-21 @ 17:15:12-Station:STA75;,Fire: VEHICLE ACCIDENT
CHESTNUT ST & N CHARLOTTE ST;  POTTSTOWN; Station 329; 2015-12-21 @ 17:13:20;,EMS: SUBJECT IN PAIN
4TH ST;  TELFORD; Station 339; 2015-12-21 @ 17:15:02;,EMS: VEHICLE ACCIDENT
4TH ST & W BROAD ST; TELFORD; 2015-12-21 @ 17:14:48;,Traffic: VEHICLE ACCIDENT -
FOX CHASE RD & CEDAR RD; ABINGTON; 2015-12-21 @ 17:15:49;,Traffic: VEHICLE ACCIDENT -
MAIN ST & S MONTGOMERY AVE;  WEST NORRITON; Station 308B; 2015-12-21 @ 17:19:16;,EMS: DIABETIC EMERGENCY
E GRAVERS LN & STENTON AVE; SPRINGFIELD; 2015-12-21 @ 17:25:48;,Traffic: ROAD OBSTRUCTION -
HANCOCK RD & HEARTH DR; UPPER GWYNEDD; 2015-12-21 @ 17:26:06-Station:STA80;,Fire: FIRE INVESTIGATION
FREEDLEY ST & GRADY ALY; NORRISTOWN; 2015-12-21 @ 17:28:16;,Traffic: ROAD OBSTRUCTION -
KENAS RD & COUNTY LINE RD; MONTGOMERY; 2015-12-21 @ 17:26:32;,Traffic: VEHICLE ACCIDENT -
10TH AVE & JONES ST;  CONSHOHOCKEN; Station 313A; 2015-12-21 @ 17:33:29;,EMS: CARDIAC EMERGENCY
BETHLEHEM PIKE & WELSH RD; HORSHAM; 2015-12-21 @ 17:34:05;,Traffic: ROAD OBSTRUCTION -
CIDER MILL RD & FREEDOM VALLEY DR; UPPER PROVIDENCE; 2015-12-21 @ 17:32:18;,Traffic: VEHICLE ACCIDENT -
BROOKWAY RD & CHERRY BND; LOWER MERION; 2015-12-21 @ 17:37:32;,Traffic: VEHICLE ACCIDENT -
SUMMIT LN & BRYN MAWR AVE; LOWER MERION; 2015-12-21 @ 17:40:27-Station:STA28;,Fire: APPLIANCE FIRE
EGYPT RD & S TROOPER RD; LOWER PROVIDENCE; 2015-12-21 @ 17:38:49;,Traffic: VEHICLE ACCIDENT -
KENAS RD & COUNTY LINE RD; MONTGOMERY; 2015-12-21 @ 17:37:27;,Traffic: VEHICLE ACCIDENT -
COWPATH RD & LINE LEXINGTON RD; HATFIELD TOWNSHIP; 2015-12-21 @ 17:41:03;,Traffic: VEHICLE ACCIDENT -
KOFFEL RD & W VINE ST; HATFIELD TOWNSHIP; 2015-12-21 @ 17:41:46;,Traffic: DISABLED VEHICLE -
HORSHAM RD & MAPLE AVE; HORSHAM; 2015-12-21 @ 17:42:11;,Traffic: VEHICLE ACCIDENT -
TOWNSHIP LINE RD & PENLLYN BLUE BELL PIKE; WHITPAIN; 2015-12-21 @ 17:46:19;,Traffic: DISABLED VEHICLE -
FITZWATERTOWN RD & WOODLAND RD; UPPER DUBLIN; 2015-12-21 @ 17:50:21;,Traffic: ROAD OBSTRUCTION -
CARSON TER & WELSH RD;  LOWER MORELAND; Station 355; 2015-12-21 @ 17:52:49;,EMS: FALL VICTIM
WELSH RD & COMPUTER AVE;  UPPER MORELAND; Station 384; 2015-12-21 @ 17:54:47;,EMS: RESPIRATORY EMERGENCY
N WHITEHALL RD;  WEST NORRITON; Station 308B; 2015-12-21 @ 17:52:22;,EMS: VEHICLE ACCIDENT
N WHITEHALL RD; WEST NORRITON; 2015-12-21 @ 17:54:09-Station:STA46;,Fire: VEHICLE ACCIDENT
RAMP I76 TO RT422  & RAMP I76 EB TO RT422 WB; UPPER MERION; 2015-12-21 @ 17:52:44;,Traffic: DISABLED VEHICLE -
RAMP I76 TO RT422  & RAMP I76 EB TO RT422 WB; UPPER MERION; 2015-12-21 @ 17:52:51;,Traffic: DISABLED VEHICLE -
N WHITEHALL RD & W MARSHALL ST; WEST NORRITON; 2015-12-21 @ 17:52:38;,Traffic: VEHICLE ACCIDENT -
RIDGE PIKE & MAIN DR;  LIMERICK; Station 324A; 2015-12-21 @ 18:01:37;,EMS: OVERDOSE
RT100 NB & N STATE ST; UPPER POTTSGROVE; 2015-12-21 @ 18:01:36;,Traffic: VEHICLE ACCIDENT -
MONTGOMERY AVE & ST GEORGES RD;  LOWER MERION; Station 313; 2015-12-21 @ 18:05:48;,EMS: FALL VICTIM
MUIRFIELD WAY & DEAD END; WORCESTER; 2015-12-21 @ 18:03:38-Station:STA83;,Fire: GAS-ODOR/LEAK
CIDER MILL RD & EGYPT RD; UPPER PROVIDENCE; 2015-12-21 @ 18:06:36;,Traffic: VEHICLE ACCIDENT -
S TROOPER RD;  WEST NORRITON; Station 308B; 2015-12-21 @ 18:07:22;,EMS: VEHICLE ACCIDENT
S TROOPER RD & BOULEVARD OF THE GENERALS; WEST NORRITON; 2015-12-21 @ 18:08:14;,Traffic: VEHICLE ACCIDENT -
YORK ST & E 7TH ST;  POTTSTOWN; Station 329; 2015-12-21 @ 18:13:17;,EMS: ABDOMINAL PAINS
BETHLEHEM PIKE & TAYLOR RD;  MONTGOMERY; Station 345; 2015-12-21 @ 18:15:55;,EMS: CARDIAC EMERGENCY
IONA AVE & LANTWYN LN;  NARBERTH; Station 313; 2015-12-21 @ 18:12:05;,EMS: SYNCOPAL EPISODE
GULPH RD & RICHARDS RD; UPPER MERION; 2015-12-21 @ 18:11:56;,Traffic: DISABLED VEHICLE -
WELSH RD & BLAIR MILL RD; UPPER MORELAND; 2015-12-21 @ 18:14:23;,Traffic: VEHICLE ACCIDENT -
WELSH RD & BLAIR MILL RD; UPPER MORELAND; 2015-12-21 @ 18:15:28;,Traffic: VEHICLE ACCIDENT -
FITZWATERTOWN RD & BURN BRAE DR; UPPER DUBLIN; 2015-12-21 @ 17:50:21;,Traffic: ROAD OBSTRUCTION -
ASHMEAD RD & GILBERT RD;  CHELTENHAM; Station 358; 2015-12-21 @ 18:18:56;,EMS: ALTERED MENTAL STATUS
S CHURCH RD & LINWOOD AVE; LOWER MERION; 2015-12-21 @ 18:18:35;,Traffic: DISABLED VEHICLE -
IVY LN & E DEKALB PIKE; UPPER MERION; 2015-12-21 @ 18:20:35;,Traffic: VEHICLE ACCIDENT -
E COUNTY LINE RD & W WYNNEWOOD RD; LOWER MERION; 2015-12-21 @ 18:20:59;,Traffic: VEHICLE ACCIDENT -
EASTON RD & NEW RD;  HORSHAM; Station 352; 2015-12-21 @ 18:23:31;,EMS: NAUSEA/VOMITING
HENDERSON RD & ROBIN RD;  UPPER MERION; Station 317; 2015-12-21 @ 18:21:23;,EMS: RESPIRATORY EMERGENCY
EVERGREEN RD & RAMP EVERGREEN RD TO RT422 WB; LIMERICK; 2015-12-21 @ 18:23:41;,Traffic: VEHICLE ACCIDENT -
S TROOPER RD & OAKDALE AVE; LOWER PROVIDENCE; 2015-12-21 @ 18:25:06;,Traffic: VEHICLE ACCIDENT -
EASTON RD & RAMP S EASTON RD TO RT309 SB;  CHELTENHAM; Station 358A; 2015-12-21 @ 18:30:12;,EMS: SYNCOPAL EPISODE
KOHN ST & W BLACKBERRY ALY;  NORRISTOWN; Station 308A; 2015-12-21 @ 18:29:39;,EMS: UNRESPONSIVE SUBJECT
RISING SUN RD & MORWOOD RD;  FRANCONIA; Station 339; 2015-12-21 @ 18:35:35;,EMS: MEDICAL ALERT ALARM
W MONTGOMERY AVE & SPRING MILL RD; LOWER MERION; 2015-12-21 @ 18:31:26;,Traffic: DISABLED VEHICLE -
YORK RD & CRESCENT RD; HATBORO; 2015-12-21 @ 18:43:06-Station:STA95;,Fire: FIRE INVESTIGATION
CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2015-12-21 @ 18:49:23;,Traffic: VEHICLE ACCIDENT -
CRAWFORD AVE & FRONT ST; WEST CONSHOHOCKEN; 2015-12-21 @ 18:48:45;,Traffic: VEHICLE ACCIDENT -
N YORK RD & E MONUMENT AVE; HATBORO; 2015-12-21 @ 18:51:29;,Traffic: VEHICLE ACCIDENT -
GERMANTOWN PIKE & HALLOWELL RD;  PLYMOUTH; Station 308; 2015-12-21 @ 18:57:40;,EMS: HEMORRHAGING
SUNNEYSIDE AVE & SCENIC DR;  LOWER SALFORD; Station 344; 2015-12-21 @ 19:01:03;,EMS: CHOKING
LIMEKILN PIKE & RT309 EXPY SB;  CHELTENHAM; Station 358A; 2015-12-21 @ 19:21:08;,EMS: RESPIRATORY EMERGENCY
NORSAM RD & CONSHOHOCKEN STATE RD; LOWER MERION; 2015-12-21 @ 19:22:01;,Traffic: DISABLED VEHICLE -
DEEP MEADOW LN & DEAD END;  WORCESTER; Station 345B; 2015-12-21 @ 19:26:57;,EMS: NAUSEA/VOMITING
FAYETTE ST & E 5TH AVE; CONSHOHOCKEN; 2015-12-21 @ 19:29:17-Station:STA36;,Fire: FIRE ALARM
MONTGOMERY AVE & ANTHWYN RD; LOWER MERION; 2015-12-21 @ 19:25:28;,Traffic: DISABLED VEHICLE -
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-21 @ 19:32:27;,EMS: FALL VICTIM
MAIN ST & HAWS AVE;  NORRISTOWN; Station 308A; 2015-12-21 @ 19:34:26;,EMS: HEMORRHAGING
SUSQUEHANNA RD & SPARK DR;  UPPER DUBLIN; Station 351; 2015-12-21 @ 19:35:31;,EMS: RESPIRATORY EMERGENCY
EVERGREEN AVE & STENTON AVE;  SPRINGFIELD; Station 311; 2015-12-21 @ 19:40:49;,EMS: DIABETIC EMERGENCY
ROLL AVE & FAIRFIELD RD; ABINGTON; 2015-12-21 @ 19:43:18-Station:STA300;,Fire: FIRE ALARM
HAMLET DR & TREWIGTOWN RD;  BUCKS COUNTY; Station EMS; 2015-12-21 @ 19:46:02;,EMS: ABDOMINAL PAINS
WELSH RD & DRESHER RD; HORSHAM; 2015-12-21 @ 19:47:30;,Traffic: VEHICLE ACCIDENT -
WELSH RD & DRESHER RD; HORSHAM; 2015-12-21 @ 19:46:01;,Traffic: VEHICLE ACCIDENT -
DIVISION AVE & WOODLAWN AVE;  UPPER MORELAND; Station 381; 2015-12-21 @ 19:47:31;,EMS: GENERAL WEAKNESS
LIMEKILN PIKE & W MT CARMEL AVE; ABINGTON; 2015-12-21 @ 19:57:50;,Traffic: VEHICLE ACCIDENT -
OLD YORK RD & SPRING AVE; CHELTENHAM; 2015-12-21 @ 20:18:00;,Traffic: DISABLED VEHICLE -
HARLEYSVILLE PIKE & OLD MORRIS RD;  LOWER SALFORD; Station 344; 2015-12-21 @ 20:23:09;,EMS: GENERAL WEAKNESS
POWELL ST & E SPRUCE ST;  NORRISTOWN; Station 308A; 2015-12-21 @ 20:23:55;,EMS: SUBJECT IN PAIN
CHARLOTTE ST & MERVINE ST; LOWER POTTSGROVE; 2015-12-21 @ 20:25:06;,Traffic: VEHICLE ACCIDENT -
SIGNAL HILL CT & SIGNAL HILL CT S;  MONTGOMERY; Station 345A; 2015-12-21 @ 20:26:06;,EMS: DIZZINESS
COLLEGEVILLE RD & PARK AVE; UPPER PROVIDENCE; 2015-12-21 @ 20:30:12;,Traffic: DISABLED VEHICLE -
CHARLOTTE ST & MERVINE ST;  LOWER POTTSGROVE; Station 329; 2015-12-21 @ 20:33:33;,EMS: VEHICLE ACCIDENT
CHARLOTTE ST & MERVINE ST; LOWER POTTSGROVE; 2015-12-21 @ 20:33:22-Station:STA59;,Fire: VEHICLE ACCIDENT
WILLIAMS WAY & COMPOUND 14;  CHELTENHAM; Station 358; 2015-12-21 @ 20:31:32;,EMS: DIABETIC EMERGENCY
LYNROSE CIR & JESSICA CIR;  LIMERICK; Station 324A; 2015-12-21 @ 20:36:24;,EMS: RESPIRATORY EMERGENCY
FITZWATERTOWN RD & BARTRAM RD;  UPPER MORELAND; Station 381; 2015-12-21 @ 20:43:51;,EMS: CARDIAC EMERGENCY
LANCASTER AVE & NORWOOD AVE; DELAWARE COUNTY; 2015-12-21 @ 20:51:28-Station:STA23;,Fire: FIRE ALARM
OLD YORK RD & RYDAL WAY; ABINGTON; 2015-12-21 @ 20:57:06;,Traffic: VEHICLE ACCIDENT -
RIDGE PIKE & OAKWYN RD;  WHITEMARSH; Station 318; 2015-12-21 @ 21:00:39;,EMS: FALL VICTIM
MORRIS RD & LEWIS LN; WHITPAIN; 2015-12-21 @ 20:59:27;,Traffic: VEHICLE ACCIDENT -
GYPSY HILL RD & WILLOW RUN RD; LOWER GWYNEDD; 2015-12-21 @ 21:03:58-Station:STA7;,Fire: FIRE ALARM
VALLEY FORGE RD & GENERAL STEUBEN RD;  UPPER MERION; Station 317; 2015-12-21 @ 21:09:15;,EMS: ALTERED MENTAL STATUS
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-21 @ 21:12:26;,EMS: MEDICAL ALERT ALARM
EASTON RD & HORSHAM RD; HORSHAM; 2015-12-21 @ 21:18:39;,Traffic: VEHICLE ACCIDENT -
HIDDEN MEADOWS AVE & HAYWARD AVE; UPPER HANOVER; 2015-12-21 @ 21:28:12-Station:STA65;,Fire: FIRE ALARM
DRESHER RD & WITMER RD; HORSHAM; 2015-12-21 @ 21:37:26;,Traffic: VEHICLE ACCIDENT -
WASHINGTON AVE & DEKALB BLVD;  EAST NORRITON; Station 308; 2015-12-21 @ 21:42:45;,EMS: HEAD INJURY
UPPER RIDGE RD & PRICE RD;  MARLBOROUGH; Station 344A; 2015-12-21 @ 21:44:33;,EMS: RESPIRATORY EMERGENCY
BETHLEHEM PIKE & MATHERS LN;  WHITEMARSH; Station 318; 2015-12-21 @ 21:48:01;,EMS: FALL VICTIM
WITCHWOOD DR & STUMP RD; MONTGOMERY; 2015-12-21 @ 21:46:56;,Traffic: DISABLED VEHICLE -
E SCHUYLKILL RD;  CHESTER COUNTY; Station EMS; 2015-12-21 @ 21:52:56;,EMS: VEHICLE ACCIDENT
E SCHUYLKILL RD & SANATOGA RD; CHESTER COUNTY; 2015-12-21 @ 21:54:02;,Traffic: VEHICLE ACCIDENT -
MAIN ST & E 1ST AVE; COLLEGEVILLE; 2015-12-21 @ 21:54:25;,Traffic: VEHICLE ACCIDENT -
MAIN ST & E 1ST AVE;  COLLEGEVILLE; Station 324; 2015-12-21 @ 21:56:29;,EMS: VEHICLE ACCIDENT
AMERICAN AVE & 1ST AVE;  UPPER MERION; Station 317; 2015-12-21 @ 22:00:23;,EMS: FEVER
GREENWOOD AVE & LIMEKILN PIKE;  CHELTENHAM; Station 358A; 2015-12-21 @ 22:01:54;,EMS: GENERAL WEAKNESS
2ND AVE & E MAIN ST;  COLLEGEVILLE; Station 324; 2015-12-21 @ 21:56:29;,EMS: VEHICLE ACCIDENT
2ND AVE & E MAIN ST; COLLEGEVILLE; 2015-12-21 @ 21:54:25;,Traffic: VEHICLE ACCIDENT -
CORSON ST & W BLACKBERRY ALY;  NORRISTOWN; Station 308A; 2015-12-21 @ 22:12:49;,EMS: FALL VICTIM
LUTHERAN HOME DR & DEAD END;  TELFORD; Station 339; 2015-12-21 @ 22:14:41;,EMS: CARDIAC EMERGENCY
ROBERTS AVE & WELDON AVE;  ABINGTON; Station 383; 2015-12-21 @ 22:13:23;,EMS: RESPIRATORY EMERGENCY
LOWER VALLEY RD & LETITIA LN;  UPPER GWYNEDD; Station 345A; 2015-12-21 @ 22:20:42;,EMS: ABDOMINAL PAINS
SHEARWATER DR & LONGSPUR RD;  LOWER PROVIDENCE; Station 322A; 2015-12-21 @ 22:25:32;,EMS: UNCONSCIOUS SUBJECT
BERKS RD & SHADY LN;  WORCESTER; Station 345B; 2015-12-21 @ 22:32:01;,EMS: CARDIAC EMERGENCY
JOSHUA RD & MILITIA HILL RD; WHITEMARSH; 2015-12-21 @ 22:33:53;,Traffic: VEHICLE ACCIDENT -
MAIN ST & SELMA ST; NORRISTOWN; 2015-12-21 @ 22:45:03;,Traffic: VEHICLE ACCIDENT -
VALLEY RD & RR OVERPASS;  CHELTENHAM; Station 358; 2015-12-21 @ 22:47:50;,EMS: HEAD INJURY
LIPPINCOTT RD;  ABINGTON; Station 382; 2015-12-21 @ 22:47:03;,EMS: OVERDOSE
BONCOUER RD & MEADOW LN; CHELTENHAM; 2015-12-21 @ 22:48:35-Station:STA4;,Fire: GAS-ODOR/LEAK
NORRISTOWN RD & NARCISSA RD; WHITPAIN; 2015-12-21 @ 22:54:08-Station:STA33;,Fire: FIRE ALARM
HOLLY DR & DOGWOOD LN;  WEST POTTSGROVE; Station 329; 2015-12-21 @ 22:57:19;,EMS: ALTERED MENTAL STATUS
LATCH STRING LN & BRAMBLE GATE DR;  HATFIELD TOWNSHIP; Station 345; 2015-12-21 @ 23:04:33;,EMS: CARDIAC EMERGENCY
FULTON DR & N LIMEKILN PIKE;  UPPER DUBLIN; Station 351; 2015-12-21 @ 23:08:22;,EMS: RESPIRATORY EMERGENCY
IVY LN & HANCOCK RD;  UPPER GWYNEDD; Station 345; 2015-12-21 @ 23:08:58;,EMS: RESPIRATORY EMERGENCY
LANCASTER AVE & E WYNNEWOOD RD; LOWER MERION; 2015-12-21 @ 23:06:23;,Traffic: VEHICLE ACCIDENT -
BLACK ROCK RD & S TRAPPE RD;  UPPER PROVIDENCE; Station 325; 2015-12-21 @ 23:15:47;,EMS: ALTERED MENTAL STATUS
GODDARD BLVD & N GULPH RD;  UPPER MERION; Station 317; 2015-12-21 @ 23:18:57;,EMS: RESPIRATORY EMERGENCY
FILLY DR & POLO DR;  MONTGOMERY; Station 345A; 2015-12-21 @ 23:22:53;,EMS: LACERATIONS
DARTMOUTH DR & CAMBRIDGE RD;  UPPER MERION; Station 317; 2015-12-21 @ 23:31:31;,EMS: SUBJECT IN PAIN
IVY LN & HANCOCK RD;  UPPER GWYNEDD; Station 345; 2015-12-21 @ 23:39:08;,EMS: FALL VICTIM
SUGARBERRY LN & ROUNDWOOD CIR; UPPER PROVIDENCE; 2015-12-21 @ 23:46:18-Station:STA77;,Fire: FIRE INVESTIGATION
ARBUTUS AVE & MAPLE AVE;  HORSHAM; Station 352; 2015-12-21 @ 23:49:32;,EMS: RESPIRATORY EMERGENCY
SANDY ST & FORD ST;  NORRISTOWN; Station 308A; 2015-12-22 @ 00:00:16;,EMS: HEMORRHAGING
NORRISTOWN RD;  HORSHAM; Station 352; 2015-12-22 @ 00:08:43;,EMS: OVERDOSE
N GULPH RD & SCHUYLKILL EXPY OVERPASS; UPPER MERION; 2015-12-22 @ 00:07:07;,Traffic: DISABLED VEHICLE -
RIDGE PIKE & NORTHWESTERN AVE;  SPRINGFIELD; Station 318; 2015-12-22 @ 00:49:34;,EMS: DIABETIC EMERGENCY
LOCUST ST & LAUREL DR;  NORRISTOWN; Station 308A; 2015-12-22 @ 00:55:58;,EMS: DIABETIC EMERGENCY
NOLEN RD & TURNER AVE;  ABINGTON; Station 381; 2015-12-22 @ 01:14:04;,EMS: CARDIAC EMERGENCY
EASTON RD & MILDRED AVE; ABINGTON; 2015-12-22 @ 01:13:09-Station:STA500;,Fire: FIRE ALARM
GULPH RD & KIRK AVE;  UPPER MERION; Station 317; 2015-12-22 @ 01:23:56;,EMS: NAUSEA/VOMITING
DEKALB ST & E FORNANCE ST; NORRISTOWN; 2015-12-22 @ 01:22:25-Station:STA27;,Fire: RESCUE - ELEVATOR
RIDGE PIKE & BARREN HILL RD;  WHITEMARSH; Station 318; 2015-12-22 @ 01:28:55;,EMS: EMS SPECIAL SERVICE
ROSEMONT AVE & DEAD END;  LOWER MERION; Station 313; 2015-12-22 @ 01:31:11;,EMS: RESPIRATORY EMERGENCY
UNION AVE & PROSPECT AVE;  BRIDGEPORT; Station 317; 2015-12-22 @ 01:52:52;,EMS: RESPIRATORY EMERGENCY
FEDERAL CT & FIRESIDE WAY;  TOWAMENCIN; Station 345B; 2015-12-22 @ 01:58:03;,EMS: HEMORRHAGING
